Customer_ID,Customer_Name,Customer_Gender,Customer_DOB,Customer_Phone,Customer_Rating,Customer_email
C_1000,Aarav Kumar,Male,4/10/1982,9876543400,4,Aarav.Kumar@email.com
C_1001,Aditi Sharma,Female,8/19/1993,9876543401,5,Aditi.Sharma@email.com
C_1002,Aditya Patel,Male,6/15/1985,9876543402,3,Aditya.Patel@email.com
C_1003,Akshara Singh,Female,2/23/1997,9876543403,4,Akshara.Singh@email.com
C_1004,Aman Gupta,Male,12/7/1980,9876543404,2,Aman.Gupta@email.com
C_1005,Ananya Reddy,Female,9/14/1994,9876543405,5,Ananya.Reddy@email.com
C_1006,Anika Kapoor,Male,5/27/1989,9876543406,4,Anika.Kapoor@email.com
C_1007,Arjun Verma,Female,11/30/1991,9876543407,3,Arjun.Verma@email.com
C_1008,Arya Joshi,Male,7/18/1978,9876543408,2,Arya.Joshi@email.com
C_1009,Atharv Yadav,Female,3/22/1995,9876543409,4,Atharv.Yadav@email.com
C_1010,Avyaan Chauhan,Male,10/10/1983,9876543410,5,Avyaan.Chauhan@email.com
C_1011,Dhruv Malik,Female,6/14/1990,9876543411,3,Dhruv.Malik@email.com
C_1012,Diya Rao,Male,1/9/1981,9876543412,4,Diya.Rao@email.com
C_1013,Eesha Bhatnagar,Female,4/5/1996,9876543413,5,Eesha.Bhatnagar@email.com
C_1014,Ishaan Khanna,Male,9/17/1987,9876543414,3,Ishaan.Khanna@email.com
C_1015,Kavya Banerjee,Female,12/29/1998,9876543415,4,Kavya.Banerjee@email.com
C_1016,Krish Kapoor,Male,2/18/1984,9876543416,2,Krish.Kapoor@email.com
C_1017,Lakshmi Iyer,Female,8/23/1992,9876543417,5,Lakshmi.Iyer@email.com
C_1018,Meera Desai,Male,5/11/1977,9876543418,3,Meera.Desai@email.com
C_1019,Neil Mukherjee,Female,10/28/1988,9876543419,4,Neil.Mukherjee@email.com
C_1020,Om Trivedi,Male,1/15/1993,9876543420,5,Om.Trivedi@email.com
C_1021,Pari Patel,Female,12/7/1982,9876543421,2,Pari.Patel@email.com
C_1022,Parth Singh,Male,11/12/1986,9876543422,4,Parth.Singh@email.com
C_1023,Pranav Reddy,Female,7/22/1994,9876543423,3,Pranav.Reddy@email.com
C_1024,Riya Sharma,Male,3/19/1981,9876543424,5,Riya.Sharma@email.com
C_1025,Rohan Gupta,Female,5/9/1991,9876543425,4,Rohan.Gupta@email.com
C_1026,Sanya Kapoor,Male,7/14/1983,9876543426,3,Sanya.Kapoor@email.com
C_1027,Shreya Verma,Female,9/29/1995,9876543427,4,Shreya.Verma@email.com
C_1028,Simran Joshi,Male,10/5/1982,9876543428,2,Simran.Joshi@email.com
C_1029,Tanvi Yadav,Female,12/15/1996,9876543429,5,Tanvi.Yadav@email.com
C_1030,Veer Chauhan,Male,4/13/1991,9876543498,4,Veer.Chauhan@email.com
C_1031,Vihaan Malik,Female,7/29/1986,9876543499,5,Vihaan.Malik@email.com
C_1032,Rajesh Patel,Male,4/10/1982,9876543400,4,Rajesh.Patel@email.com
C_1033,Anushka Rao,Female,8/19/1993,9876543401,5,Anushka.Rao@email.com
C_1034,Manish Choudhary,Male,6/15/1985,9876543402,3,Manish.Choudhary@email.com
C_1035,Priyanka Das,Female,2/23/1997,9876543403,4,Priyanka.Das@email.com
C_1036,Neeraj Mehta,Male,12/7/1980,9876543404,2,Neeraj.Mehta@email.com
C_1037,Sneha Verma,Female,9/14/1994,9876543405,5,Sneha.Verma@email.com
C_1038,Raghav Malhotra,Male,5/27/1989,9876543406,4,Raghav.Malhotra@email.com
C_1039,Nikita Sharma,Female,11/30/1991,9876543407,3,Nikita.Sharma@email.com
C_1040,Vivek Nair,Male,7/18/1978,9876543408,2,Vivek.Nair@email.com
C_1041,Kavita Sinha,Female,3/22/1995,9876543409,4,Kavita.Sinha@email.com
C_1042,Abhishek Tiwari,Male,10/10/1983,9876543410,5,Abhishek.Tiwari@email.com
C_1043,Meena Kapoor,Female,6/14/1990,9876543411,3,Meena.Kapoor@email.com
C_1044,Sunil Reddy,Male,1/9/1981,9876543412,4,Sunil.Reddy@email.com
C_1045,Deepa Yadav,Female,4/5/1996,9876543413,5,Deepa.Yadav@email.com
C_1046,Vikram Pillai,Male,9/17/1987,9876543414,3,Vikram.Pillai@email.com
C_1047,Anita Joshi,Female,12/29/1998,9876543415,4,Anita.Joshi@email.com
C_1048,Gaurav Saxena,Male,2/18/1984,9876543416,2,Gaurav.Saxena@email.com
C_1049,Rekha Malhotra,Female,8/23/1992,9876543417,5,Rekha.Malhotra@email.com
C_1050,Arun Mehta,Male,5/11/1977,9876543418,3,Arun.Mehta@email.com
C_1051,Shweta Ghosh,Female,10/28/1988,9876543419,4,Shweta.Ghosh@email.com
C_1052,Sumit Das,Male,1/15/1993,9876543420,5,Sumit.Das@email.com
C_1053,Preeti Reddy,Female,12/7/1982,9876543421,2,Preeti.Reddy@email.com
C_1054,Rohan Rao,Male,11/12/1986,9876543422,4,Rohan.Rao@email.com
C_1055,Smita Sharma,Female,7/22/1994,9876543423,3,Smita.Sharma@email.com
C_1056,Alok Yadav,Male,3/19/1981,9876543424,5,Alok.Yadav@email.com
C_1057,Ananya Nair,Female,5/9/1991,9876543425,4,Ananya.Nair@email.com
C_1058,Naveen Tandon,Male,7/14/1983,9876543426,3,Naveen.Tandon@email.com
C_1059,Divya Joshi,Female,9/29/1995,9876543427,4,Divya.Joshi@email.com
C_1060,Amit Verma,Male,10/5/1982,9876543428,2,Amit.Verma@email.com
C_1061,Kiran Mehta,Female,12/15/1996,9876543429,5,Kiran.Mehta@email.com
C_1062,Sachin Khanna,Male,4/13/1991,9876543498,4,Sachin.Khanna@email.com
C_1063,Anjali Kapoor,Female,7/29/1986,9876543499,5,Anjali.Kapoor@email.com
C_1064,Ramesh Iyer,Male,7/15/1984,9876543500,3,Ramesh.Iyer@email.com
C_1065,Sunita Malhotra,Female,2/11/1990,9876543501,5,Sunita.Malhotra@email.com
